1152.09 -23.9875
1152.09 25.9875
1143.75 37.0958
1114.59 75.9625
1106.25 87.0708
1077.09 125.938
1068.75 137.046
1039.59 175.913
1031.25 187.021
1002.09 225.888
993.75 236.996
964.585 275.863
956.25 286.971
927.085 325.838
918.75 336.946
881.25 336.946
852.085 375.813
852.172 425.788
852.609 475.763
853.188 525.738
881.25 563.135
918.75 563.135
928.199 575.713
956.25 613.095
967.547 625.688
993.75 660.608
1008.15 675.662
1031.25 706.444
1068.75 708.383
1084.92 725.638
1106.25 754.063
1126.45 775.612
1143.75 798.661
1171.57 825.588
1181.25 838.483
1218.75 846.64
1247.23 875.562
1256.25 887.587
1293.75 919.752
1309.77 925.537
1331.25 935.82
1368.75 960.798
1395.55 975.513
1406.25 981.317
1443.75 995.262
1481.25 1015.49
1507.36 1025.49
1518.75 1030.01
1556.25 1035.86
1593.75 1050.35
1631.25 1055.26
1668.75 1057.79
1706.25 1067.32
1743.75 1057.9
1781.25 1054.6
1818.75 1052.94
1856.25 1037.74
1893.75 1025.87
1894.73 1025.49
1931.25 998.007
1946.57 975.513
1968.75 927.585
1969.62 925.537
1990.77 875.562
2006.25 838.976
2010.22 825.588
2020.16 775.612
2024.97 725.638
2029.64 675.662
2033.7 625.688
2034.65 575.713
2033.18 525.738
2033.4 475.763
2034.19 425.788
2034.31 375.813
2033.72 325.838
2033.15 275.863
2032.62 225.888
2031.8 175.913
2030.67 125.938
2029.52 75.9625
2028.3 25.9875
2028.3 -23.9875
