370250	900	5000	1
370252	900	5000	400
370253	900	5000	600
370254	900	5000	800
370255	900	5000	880
370256	1000	5000	1
370257	1000	5000	200
370258	1000	5000	400
370259	1000	5000	600
370260	1000	5000	800
370261	1000	5000	980
370262	1100	5000	1
370263	1100	5000	200
370264	1100	5000	400
370265	1100	5000	600
370266	1100	5000	800
370267	1100	5000	1000
370268	1100	5000	1080
370269	1200	5000	1
370270	1200	5000	200
370271	1200	5000	400
370272	1200	5000	600
370273	1200	5000	800
370274	1200	5000	1000
370275	1200	5000	1180
370276	1300	5000	1
370277	1300	5000	200
370278	1300	5000	400
370279	1300	5000	600
370280	1300	5000	800
370281	1300	5000	1000
370282	1300	5000	1200
370283	1300	5000	1280
370284	1400	5000	1
370285	1400	5000	200
370286	1400	5000	400
370287	1400	5000	600
370288	1400	5000	800
370289	1400	5000	1000
370290	1400	5000	1200
370291	1400	5000	1380
370292	1500	5000	1
370293	1500	5000	200
370294	1500	5000	400
370295	1500	5000	600
370296	1500	5000	800
370297	1500	5000	1000
370298	1500	5000	1200
370299	1500	5000	1400
370300	1500	5000	1480
370301	1600	5000	1
370302	1600	5000	200
370303	1600	5000	400
370304	1600	5000	600
370305	1600	5000	800
370306	1600	5000	1000
370307	1600	5000	1200
370308	1600	5000	1400
370309	1600	5000	1580
370310	1700	5000	1
370310	1700	5000	1
370310	1700	5000	1
370311	1700	5000	200
370312	1700	5000	400
370313	1700	5000	600
370314	1700	5000	800
370315	1700	5000	1000
370316	1700	5000	1200
370317	1700	5000	1400
370318	1700	5000	1600
370319	1700	5000	1680
370320	1800	5000	1
370321	1800	5000	200
370322	1800	5000	400
370323	1800	5000	600
370324	1800	5000	800
370325	1800	5000	1000
370326	1800	5000	1200
370327	1800	5000	1400
370328	1800	5000	1600
370329	1800	5000	1780
370330	1900	5000	1
370331	1900	5000	200
370332	1900	5000	400
370333	1900	5000	600
370334	1900	5000	800
370335	1900	5000	1000
370336	1900	5000	1200
370337	1900	5000	1400
370338	1900	5000	1600
370339	1900	5000	1800
370340	1900	5000	1880
370341	2000	5000	1
370342	2000	5000	200
370343	2000	5000	400
370344	2000	5000	600
370345	2000	5000	800
370346	2000	5000	1000
370347	2000	5000	1200
370348	2000	5000	1400
370349	2000	5000	1600
370350	2000	5000	1800
370351	2000	5000	1980
